id,PARTY,PARTYNM,AREA,PERSON,OUTSTANDINGAMT
141,190,"GAYATRI MASALA (CHETAN BHAI), BARODA PRISTAGE   (Unclear Cheque :      29063)",BARODA PRISTAGE,VIPULBHAI,409927
142,191,"GOKUL DAIRY, BHESTAN",BHESTAN,VIPULBHAI,231120
143,192,"GANESH TRADING (DHIRAJBHAI), AMROLI (A.K.ROAD)   (Unclear Cheque :     131196)",AMROLI,VIPULBHAI,134275
144,193,"GAUTAM AGENCY (DINESH BHAI), AMROLI",AMROLI,VIPULBHAI,714701
145,195,"Z GANESH TRADERS, VAPI",ROLL (D),EXTRA,5251
146,196,"GANESH TRADERS, NANDURBAR",ROLL (N),EXTRA,10197
147,197,"GANESH TRADERS (RANI TALAV), BHAGAL   (Unclear Cheque :     259350)",BHAGAL,NITINBHAI 1,862438
148,198,"GANESH TRADING, NAVAGAM   (Unclear Cheque :      60000)",NAVAGAM,NITINBHAI 2,522233
149,199,"GURUKRUPA TRADING, SIMADA(VALMNAGR)",NANA VARACHHA,VIPULBHAI,0
150,200,"GAJANAND KIRANA, KATARGAM",KATAR GAM 1,NITINBHAI 1,169645
151,201,"GHANSHYAM KIRANA, SAVAR KUNDALA",SAVAR KUNDALA,DHIRENBHAI,0
152,202,"GOKUL TRADRES, RAJPIPLA CHOKDI",ANKLESHWAR,JAYKISHAN,64290
153,203,"GAUTAM AGENCY DEBIT (DINESH BHAI), AMROLI   (Unclear Cheque :     340065)",AMROLI,VIPULBHAI,706140
154,204,"GAYATRI KHAMAN, VARACHHA",VARACHHA ROAD,KANBHAI,0
155,205,"GANESH TRADERS, BARODA PRISTAGE",BARODA PRISTAGE,VIPULBHAI,25930
156,206,"GANESH TRADERS (THAKORDWAR SOC), SIMADA",NANA VARACHHA,VIPULBHAI,275790
157,207,"GURUKRUPA TRADERS, BHESTAN",BHESTAN,VIPULBHAI,639177
158,209,"HASMUKH TRADING CO, PANDESARA",ROLL (N),EXTRA,12000
159,210,"HARIHAR FARASAN, VARACHHA ROAD",VARACHHA ROAD,VIPULBHAI,16200
160,211,"HARIGOVIND KARIYANA STORE, VIVEKANAND SOC",VIVEKANAND SOCIETY,VIPULBHAI,74157
161,212,"HARDIK PROVISION STORE (PATEL NAGAR), A.K.ROAD",A.K.ROAD V,VIPULBHAI,18000
162,213,"HAVEMORE PAKODA HOUSE, BARODA PRISTAGE",BARODA PRISTAGE,VIPULBHAI,29980
163,214,"Z HARIOM TRADERS SHANTI NAGAR, UDHNA",ROLL (N),EXTRA,-102535
164,215,"HANUMAN PROVISION, BARDOLI",BARDOLI,DHIRENBHAI,0
165,216,"HANUMAN TRADERS, RAMNAGAR   (Unclear Cheque :     468801)",PALANPUR PATIYA,NITINBHAI 1,825280
166,217,"HAREKRUSHNA TRADERS, SARDAR MARKET",PARBAT PATIYA,NITINBHAI 2,0
167,219,"Z HITESH TRADING, VAAPI",ROLL (D),EXTRA,54460
168,220,"HIRALAL SAMOSAVALA (NAVI PARDI), KIM",KIM,DHIRENBHAI,44605
169,221,"HONEY SUPER STORE, KADODRA   (Unclear Cheque :      56820)",KADODARA,VIPULBHAI,206528
170,222,"HARIOM KIRANA (MODEL TOWN) (DHONI), PARBAT PATIYA",PARBAT PATIYA,NITINBHAI 2,48630
171,224,"H.S AGRO INDUSTRIES, KAMREJ",KAMREJ,VIPULBHAI,0
172,226,"I MATA PROVISION STORE (DHRUVTARAK), KATAR GAM",KATAR GAM 1,NITINBHAI 1,51495
173,227,"I MATA GENERAL, H. KRISHNA ROOPJI BHAGIRATH BHAGIRATH 2",BHAGIRATH 2,VIPULBHAI,167166
174,229,"JAGDAMBA PROVISION STORE (VELJIBHAI), KHODIYAR NAGAR",KHODIYAR NAGAR,VIPULBHAI,67335
175,230,"JAIN TRADERS, UDHNA MAIN ROAD   (Unclear Cheque :     250000)",UDHNA MAIN ROAD,NITINBHAI 2,894459
176,231,"JALARAM GENERAL STORE (SANJAY BHAI), KATAR GAM",KATAR GAM 2,NITINBHAI 1,506231
177,232,"J.K.C KARIYANA STORE ( DEVA BHAI ), RAM RAJYA SOC",RAM RAJYA SOCIETY,VIPULBHAI,5350
178,234,"JALARAM KHAMAN ( BHARAT KUMAR ), KAMAL PARK",KAMAL PARK,VIPULBHAI,43115
179,235,"JALARAM TRADERS (PAPPU BHAI), ADAJAN PATIYA",,SHOP,200000
180,236,"JAIN TOBECO, BHAGAL",BHAGAL,NITINBHAI 1,16775
181,237,"JALARAM MASALA (JITU BHAI), JAHANGEERPURA",,SHOP,-74686
182,240,"JAY YOGESHWAR TRADING, UDHNA MAIN ROAD   (Unclear Cheque :      60000)",UDHNA MAIN ROAD,NITINBHAI 2,438345
183,241,"JAGNATH KIRANA (OM PRAKASH), AASPAS",GODADARA 2,NITINBHAI 2,160064
184,242,"JAIN TRADERS, BARDOLI",BARDOLI,DHIRENBHAI,52910
185,243,"KARMCHARI DHIRAN SAHKARI MANDLI, KAMREJ",KAMREJ,VIPULBHAI,45280
186,244,"JAY TRADERS (RANI TALAV), BHAGAL",BHAGAL,NITINBHAI 1,1029130
187,245,"JAY BHAVANI KARIYANA (PALI GAM), SACHIN",SACHIN,VIPULBHAI,140870
188,246,"JAY AMBE TRADING, UDHNA YARD",UDHNA YARD,NITINBHAI 2,263156
189,247,"JAGNATH KIRANA (SAVLARAM), NILGIRI",GODADARA 2,NITINBHAI 2,105024
190,248,"JAIN TRADERS (SUNIL BHAI), BHATAR ROAD",BHATAR ROAD,NITINBHAI 1,33365
191,249,"JALARAM MASALA (JIGNESH BHAI), SAROLI   (Unclear Cheque :     128360)",KADODARA,VIPULBHAI,100674
192,250,"JAGDAMBA TRADERS, VARELI",VARELI,VIPULBHAI,106040
193,251,"JALARAM FARSAN, MAHAPRABHU NAGAR",MAHAPRABHU NAGAR,NITINBHAI 2,21060
194,252,"JAY AMBE (CHHOLE), MAHADEV NAGAR",MAHADEV NAGAR,VIPULBHAI,86570
195,253,"JAGDAMBA SUPER STORE, PUNA GAM   (Unclear Cheque :      25377)",PUNA GAM (D),VIPULBHAI,99317
196,254,"JENISH IN CORPPRATION, KIM",KIM,DHIRENBHAI,168960
197,255,"Z J.K TRADERS, VAPI",ROLL (D),EXTRA,29200
198,256,"Z JAIN TRADERS, VAAPI",ROLL (D),EXTRA,2000
